day,pft_transfer_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,12
14,57
15,93
16,108
17,111
18,30
19,90
20,63
21,0
22,46
23,124
24,105
25,145
26,385
27,192
28,122
29,60
30,111
31,282
32,138
33,243
34,195
35,180
36,147
37,144
38,249
39,234
40,156
41,201
42,207
43,114
44,117
45,255
46,119
47,27
48,48
49,52
50,3
51,0
52,54
53,21
54,3
55,45
56,36
57,0
58,9
59,12
60,329
61,339
62,264
63,281
64,237
65,222
66,267
67,297
68,303
69,297
70,312
71,216
72,243
73,288
74,243
75,207
76,261
77,252
78,246
79,246
80,120
81,30
82,62
83,105
84,81
85,12
86,24
87,30
88,173
89,102
90,42
91,24
92,45
93,39
94,72
95,48
96,42
97,51
98,24
99,27
100,42
101,54
102,45
103,45
104,42
105,0
106,6
107,36
108,27
109,27
110,51
111,31
112,24
113,36
114,69
115,100
116,193
117,150
118,147
119,62
120,42
121,54
122,57
123,74
124,63
125,84
126,15
127,15
128,69
129,72
130,66
131,108
132,84
133,15
134,66
135,81
136,36
137,138
138,63
139,3
140,0
141,21
142,18
143,24
144,39
145,30
146,0
147,0
148,0
149,9
150,15
151,33
152,21
153,33
154,0
155,3
156,21
157,24
158,21
159,21
160,54
161,87
162,24
163,69
164,60
165,69
166,84
167,24
168,369
169,359
170,128
171,238
172,151
173,95
174,213
175,107
176,229
177,258
178,549
179,461
180,380
181,151
182,514
183,410
184,331
185,310
186,343
187,210
188,187
189,192
190,275
191,297
192,223
193,405
194,109
195,195
196,391
197,471
198,399
199,597
200,807
201,585
202,238
203,589
204,787
205,694
206,495
207,597
208,313
209,238
210,315
211,317
212,237
213,247
214,271
215,243
216,224
217,525
218,336
219,899
220,513
221,429
222,196
223,308
224,517
225,534
226,477
227,486
228,387
229,453
230,198
231,538
232,573
233,342
234,222
235,105
236,33
237,365
238,333
239,60
240,165
241,449
242,490
243,275
244,314
245,269
246,900
247,1224
248,2052
249,1030
250,1285
251,1011
252,1204
253,1035
254,1413
255,1251
256,1017
257,1176
258,1443
259,828
260,1122
261,1316
262,865
263,440
264,431
265,543
266,537
267,776
268,94
269,1239
270,243
271,15
272,93
273,57
274,43
275,6
276,6
277,0
278,21
279,39
280,54
281,42
282,323
283,33
284,156
285,575
286,425
287,446
288,833
289,387
290,602
291,856
292,1264
293,1191
294,1430
295,919
296,1083
297,1149
298,1238
299,1395
300,1505
301,1067
302,1188
303,1106
304,1020
305,928
306,1368
307,1685
308,2010
309,1270
310,1481
311,990
312,677
313,742
314,803
315,925
316,728
317,561
318,500
319,729
320,732
321,157 (might need to rerun this day, stopped + started and i think it impacted the data)
322,515
323,553
324,589
325,448
326,282
327,644
328,575
329,1051
330,989
331,543
332,774
333,1032
334,1131
335,876
336,787
337,926
338,546
339,965
340,1104
341,1002
342,859
343,872
344,979
345,1218
346,1509
347,1299
348,1227
349,1197
350,1545
351,986
352,788
353,998
354,1251
355,1244
356,1310
357,1343
358,781
359,1319
360,1010
361,1291
362,1384
363,1161
364,840
365,447
366,753
367,1085
368,1056
369,555
